id;Курс;Группа;Предметы
2;3-й курс;481061;ВТ (поит),МО,СПП,РПОМП,ОЗИ,АКГ,ЦОС,САиММ,СТиАОС,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ПОЦП,ПОВС
3;3-й курс;481062;ВТ (поит),МО,СПП,РПОМП,ОЗИ,АКГ,ЦОС,САиММ,СТиАОС,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ПОЦП,ПОВС
4;3-й курс;481063;ВТ (поит),МО,СПП,РПОМП,ОЗИ,АКГ,ЦОС,САиММ,СТиАОС,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ПОЦП,ПОВС
5;3-й курс;481064;ВТ (поит),МО,СПП,РПОМП,ОЗИ,АКГ,ЦОС,САиММ,СТиАОС,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ПОЦП,ПОВС
6;1-й курс;680561;Экономика,История,Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,МППиУ,Логика,Физика,АиЛОВТ
7;1-й курс;680562;Экономика,История,Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,МППиУ,Логика,Физика,АиЛОВТ
8;1-й курс;680961;ОКП (ипиэ),ОАиП (ВМиП),Экономика,История,Ин.яз 1,Философия,Политология,МППиУ,ОИАД,ПППД,ИКГ,Бел.яз. (культура речи),Логика,Физика
9;1-й курс;681061;Экономика,История,Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,ОКТ,МППиУ,ИКГ,Бел.яз. (культура речи),Логика,Физика,АОКТ,ЯП,СиАОД
10;1-й курс;681062;Экономика,История,Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,ОКТ,МППиУ,ИКГ,Бел.яз. (культура речи),Логика,Физика,АОКТ,ЯП,СиАОД
11;1-й курс;681063;Экономика,История,Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,ОКТ,МППиУ,ИКГ,Бел.яз. (культура речи),Логика,Физика,АОКТ,ЯП,СиАОД
12;1-й курс;681064;Экономика,История,Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,ОКТ,МППиУ,ИКГ,Бел.яз. (культура речи),Логика,Физика,АОКТ,ЯП,СиАОД
13;1-й курс;682461;ОАиП (ВМиП),Экономика,История,Философия,Ин.яз 2,Политология,Математика,ПИиПвИО,Бел.яз. (культура речи),Физика,МОТС
14;2-й курс;581061;ДМ,ТРПО,ТИ,ООТПиСП,КСиС,ТК,ОСиСП,БД (поит),НПО
15;2-й курс;581062;ДМ,ТРПО,ТИ,ООТПиСП,КСиС,ТК,ОСиСП,БД (поит),НПО
16;2-й курс;581063;ДМ,ТРПО,ТИ,ООТПиСП,КСиС,ТК,ОСиСП,БД (поит),НПО
17;2-й курс;581064;ДМ,ТРПО,ТИ,ООТПиСП,КСиС,ТК,ОСиСП,БД (поит),НПО
18;2-й курс;581065;ДМ,ТРПО,ТИ,ООТПиСП,КСиС,ТК,ОСиСП,БД (поит),НПО
19;2-й курс;580961;ПППД,ДМ,КП,ЭргС,ПВИ,ТВ и МС,ТЭЦ,УИнфП,ИИС,МСТ,Схемотехника
20;2-й курс;580561;ДМ (эвм),Физика,КПиЯП,ТВ и МС,ТОКС,КПП,Схемотехника,ОЗИ
21;2-й курс;580562;ДМ (эвм),Физика,КПиЯП,ТВ и МС,ТОКС,КПП,Схемотехника,ОЗИ
22;3-й курс;481061;ВТ (поит),МО,СПП,РПОМП,ОЗИ,АКГ,ЦОС,САиММ,СТиАОС,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ПОЦП,ПОВС
23;3-й курс;481062;ВТ (поит),МО,СПП,РПОМП,ОЗИ,АКГ,ЦОС,САиММ,СТиАОС,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ПОЦП,ПОВС
24;3-й курс;481063;ВТ (поит),МО,СПП,РПОМП,ОЗИ,АКГ,ЦОС,САиММ,СТиАОС,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ПОЦП,ПОВС
25;3-й курс;481064;ВТ (поит),МО,СПП,РПОМП,ОЗИ,АКГ,ЦОС,САиММ,СТиАОС,ПиРИС,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ПОЦП,ПОВС
26;3-й курс;480561;ИиПУ,Схемотехника,СиФО ЭВМ,ТРиТПО,СА,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ЦОСиИ,АВПП,АКСиС
27;3-й курс;480562;ИиПУ,Схемотехника,СиФО ЭВМ,ТРиТПО,СА,Техн. практика, рук-во,Отв. за техн. практику,ОБиПвИТ,ЦОСиИ,АВПП,АКСиС
28;4-й курс;381061;САиММ,ОБиПвИК,ПОВС (ВМиП),Осн. ЕRP-систем,ПОЦП (ВМиП),ПиРИС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Техн. практика, рук-во,Отв. за техн. практику,Конс. по экономике,Преддиплом. практика,Раб. комиссия
29;4-й курс;381062;САиММ,ОБиПвИК,ПОВС (ВМиП),Осн. ЕRP-систем,ПОЦП (ВМиП),ПиРИС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Техн. практика, рук-во,Отв. за техн. практику,Конс. по экономике,Преддиплом. практика,Раб. комиссия
30;4-й курс;381063;САиММ,ОБиПвИК,ПОВС (ВМиП),Осн. ЕRP-систем,ПОЦП (ВМиП),ПиРИС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Техн. практика, рук-во,Отв. за техн. практику,Конс. по экономике,Преддиплом. практика,Раб. комиссия
31;4-й курс;380561;АОКС,КиД СВТ (поит),ЗИвВС (эвм),МСиСвИК,СиФО ЭВМ,Моделирование,ОУИС,АПВМиС,ТПЦУиС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
32;4-й курс;380562;АОКС,КиД СВТ (поит),ЗИвВС (эвм),СиФО ЭВМ,Моделирование,ОУИС,АПВМиС,ТПЦУиС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
33;4-й курс;380563;АОКС,КиД СВТ (поит),ЗИвВС (эвм),СиФО ЭВМ,Моделирование,ОУИС,АПВМиС,ТПЦУиС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
34;4-й курс;382461;СТП,ОиАС,ТПиЗД,ПУПР,МвПСС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
35;4-й курс;382462;СТП,ОиАС,ТПиЗД,ПУПР,МвПСС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
36;4-й курс;380961;ТиПИППиЭ,АиПОС,ПВЧсВР,КиСАПЭС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
37;1-й курс;680971;ОКП (ипиэ),ОАиП (ВМиП),Экономика,История,ИКГ,Ин.яз 1,Бел.яз. (культура речи),Философия,Политология,ОИАД,ПППД,Логика,Физика,УИП,КП
38;1-й курс;681071;Экономика,История,ИКГ,Бел.яз. (культура речи),Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,ОКТ,МППиУ,Логика,Физика,АОКТ,ЯП,СиАОД
39;1-й курс;681072;Экономика,История,ИКГ,Бел.яз. (культура речи),Философия,Ин.яз 2,ОАиП (ПОИТ),Политология,ОКТ,МППиУ,Логика,Физика,АОКТ,ЯП,СиАОД
