id;abbreviation;full_name;additional;training_form;course;group;
2;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;3-й курс;481061;
3;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;3-й курс;481062;
4;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;3-й курс;481063;
5;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;3-й курс;481064;
6;ВМСиС;Вычислительные машины, системы и сети;;Вечернее;1-й курс;680561;
7;ВМСиС;Вычислительные машины, системы и сети;;Вечернее;1-й курс;680562;
8;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;Вечернее;1-й курс;680961;
9;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;1-й курс;681061;
10;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;1-й курс;681062;
11;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;1-й курс;681063;
12;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;1-й курс;681064;
13;ИТиУТС;Информационные технологии и управление в технических системах;;Вечернее;1-й курс;682461;
14;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;2-й курс;581061;
15;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;2-й курс;581062;
16;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;2-й курс;581063;
17;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;2-й курс;581064;
18;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;2-й курс;581065;
19;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;Вечернее;2-й курс;580961;
20;ВМСиС;Вычислительные машины, системы и сети;;Вечернее;2-й курс;580561;
21;ВМСиС;Вычислительные машины, системы и сети;;Вечернее;2-й курс;580562;
22;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;3-й курс;481061;
23;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;3-й курс;481062;
24;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;3-й курс;481063;
25;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;3-й курс;481064;
26;ВМСиС;Вычислительные машины, системы и сети;;Вечернее;3-й курс;480561;
27;ВМСиС;Вычислительные машины, системы и сети;;Вечернее;3-й курс;480562;
28;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;4-й курс;381061;
29;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;4-й курс;381062;
30;ПОИТ;Программное обеспечение информационных технологий;;Вечернее;4-й курс;381063;
31;ВМСиС;Вычислительные машины, системы и сети;ПОИТ;Вечернее;4-й курс;380561;
32;ВМСиС;Вычислительные машины, системы и сети;;Вечернее;4-й курс;380562;
33;ВМСиС;Вычислительные машины, системы и сети;;Вечернее;4-й курс;380563;
34;ИТиУТС;Информационные технологии и управление в технических системах;;Вечернее;4-й курс;382461;
35;ИТиУТС;Информационные технологии и управление в технических системах;;Вечернее;4-й курс;382462;
36;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;Вечернее;4-й курс;380961;
37;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;Заочное;1-й курс;680971;
38;ПОИТ;Программное обеспечение информационных технологий;;Заочное;1-й курс;681071;
39;ПОИТ;Программное обеспечение информационных технологий;;Заочное;1-й курс;681072;
40;ПОИТ;Программное обеспечение информационных технологий;;Заочное;1-й курс;681073;
41;ПОИТ;Программное обеспечение информационных технологий;;Заочное;1-й курс;681074;
42;ПОИТ;Программное обеспечение информационных технологий;;Заочное;1-й курс;681075;
43;ПЭ;Промышленная электроника;;Заочное;1-й курс;681971;
44;ПЭ;Промышленная электроника;;Заочное;1-й курс;681972;
45;ИСиТ;Информационные системы и технологии (по направлениям);;Заочное;1-й курс;682371;
46;ИТиУТС;Информационные технологии и управление в технических системах;;Заочное;1-й курс;682471;
47;ИТиУТС;Информационные технологии и управление в технических системах;;Заочное;1-й курс;682472;
48;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;Заочное;1-й курс;682473;
49;ЭСБ;Электронные системы безопасности;;Заочное;1-й курс;683371;
50;ЭСБ;Электронные системы безопасности;;Заочное;1-й курс;683372;
51;ПМС;Программируемые мобильные системы;;Заочное;1-й курс;683871;
52;ЭЭБ;Экономика электронного бизнеса;;Заочное;1-й курс;683971;
53;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;Заочное;2-й курс;580971;
54;ПОИТ;Программное обеспечение информационных технологий;;Заочное;2-й курс;581071;
55;ПОИТ;Программное обеспечение информационных технологий;;Заочное;2-й курс;581072;
56;ПОИТ;Программное обеспечение информационных технологий;;Заочное;2-й курс;581073;
57;ПОИТ;Программное обеспечение информационных технологий;;Заочное;2-й курс;581074;
58;ПЭ;Промышленная электроника;;Заочное;2-й курс;581971;
59;ПЭ;Промышленная электроника;;Заочное;2-й курс;581972;
60;ИСиТ;Информационные системы и технологии (по направлениям);;Заочное;2-й курс;582371;
61;ИТиУТС;Информационные технологии и управление в технических системах;;Заочное;2-й курс;582471;
62;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;Заочное;2-й курс;582472;
63;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;Заочное;2-й курс;582473;
64;ЭСБ;Электронные системы безопасности;;Заочное;2-й курс;583371;
65;ЭСБ;Электронные системы безопасности;;Заочное;2-й курс;583372;
66;ПМС;Программируемые мобильные системы;;Заочное;2-й курс;583871;
67;ЭЭБ;Экономика электронного бизнеса;;Заочное;2-й курс;583971;
68;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;Заочное;3-й курс;480971;
69;ПОИТ;Программное обеспечение информационных технологий;;Заочное;3-й курс;481071;
70;ПОИТ;Программное обеспечение информационных технологий;;Заочное;3-й курс;481072;
71;ПОИТ;Программное обеспечение информационных технологий;;Заочное;3-й курс;481073;
72;ЭЭБ;Экономика электронного бизнеса;;Заочное;3-й курс;483971;
73;ПЭ;Промышленная электроника;;Заочное;3-й курс;481971;
74;ИТиУТС;Информационные технологии и управление в технических системах;;Заочное;3-й курс;482471;
75;ИТиУТС;Информационные технологии и управление в технических системах;;Заочное;3-й курс;482472;
76;ЭСБ;Электронные системы безопасности;;Заочное;3-й курс;483371;
77;ПМС;Программируемые мобильные системы;;Заочное;3-й курс;483871;
78;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;Заочное;3-й курс;482473;
79;ЭиОП;Экономика и организация производства (по направлениям);;Заочное;4-й курс;381671;
80;ПЭ;Промышленная электроника;;Заочное;4-й курс;381971;
81;ПЭ;Промышленная электроника;;Заочное;4-й курс;381972;
82;ТОБ;Техническое обеспечение безопасности;;Заочное;4-й курс;382571;
83;ТОБ;Техническое обеспечение безопасности;;Заочное;4-й курс;382572;
84;ЭСБ;Электронные системы безопасности;;Заочное;4-й курс;383371;
85;ЭСБ;Электронные системы безопасности;;Заочное;4-й курс;383372;
86;ПОИТ;Программное обеспечение информационных технологий;;Заочное;4-й курс;381071;
87;ПОИТ;Программное обеспечение информационных технологий;;Заочное;4-й курс;381072;
88;ПОИТ;Программное обеспечение информационных технологий;;Заочное;4-й курс;381073;
89;ИСиТ;Информационные системы и технологии (по направлениям);;Заочное;4-й курс;382371;
90;ИСиТ;Информационные системы и технологии (по направлениям);;Заочное;4-й курс;382372;
91;ИКТ;Инфокоммуникационные технологии (по направлениям);;Заочное;4-й курс;382971;
92;ИТиУТС;Информационные технологии и управление в технических системах;;Заочное;4-й курс;382471;
93;ИТиУТС;Информационные технологии и управление в технических системах;;Заочное;4-й курс;382472;
94;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;Заочное;4-й курс;382474;
95;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;Заочное;4-й курс;382475;
96;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;Заочное;4-й курс;382476;
97;ИТиУТС;Информационные технологии и управление в технических системах;ПОИТ;Заочное;4-й курс;382477;
98;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;Заочное;4-й курс;380971;
99;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;Заочное;4-й курс;380972;
